"id","title","album_id","track_number","duration"
1,"Your Love Is My Drug",1,1,"{""minutes"":3,""seconds"":6}"
2,"TiK ToK",1,2,"{""minutes"":3,""seconds"":19}"
3,"Take It Off",1,3,"{""minutes"":3,""seconds"":35}"
4,"Kiss N Tell",1,4,"{""minutes"":3,""seconds"":27}"
5,"Stephen",1,5,"{""minutes"":3,""seconds"":32}"
6,"Blah Blah Blah (feat. 3OH!3)",1,6,"{""minutes"":2,""seconds"":52}"
7,"Hungover",1,7,"{""minutes"":3,""seconds"":52}"
8,"Party at a Rich Dude's House",1,8,"{""minutes"":2,""seconds"":55}"
9,"Backstabber",1,9,"{""minutes"":3,""seconds"":6}"
10,"Blind",1,10,"{""minutes"":3,""seconds"":17}"
11,"Dinosaur",1,11,"{""minutes"":2,""seconds"":55}"
12,"Dancing with Tears in My Eyes",1,12,"{""minutes"":3,""seconds"":29}"
13,"Boots & Boys",1,13,"{""minutes"":2,""seconds"":56}"
14,"Animal",1,14,"{""minutes"":3,""seconds"":57}"
15,"Warrior",2,1,"{""minutes"":4}"
16,"Die Young",2,2,"{""minutes"":3,""seconds"":32}"
17,"C'Mon",2,3,"{""minutes"":3,""seconds"":34}"
18,"Thinking of You",2,4,"{""minutes"":3,""seconds"":4}"
19,"Crazy Kids",2,5,"{""minutes"":3,""seconds"":50}"
20,"Wherever You Are",2,6,"{""minutes"":3,""seconds"":58}"
21,"Dirty Love (featuring Iggy Pop)",2,7,"{""minutes"":2,""seconds"":44}"
22,"Wonderland",2,8,"{""minutes"":3,""seconds"":42}"
23,"Only Wanna Dance with You",2,9,"{""minutes"":3,""seconds"":31}"
24,"Supernatural",2,10,"{""minutes"":4,""seconds"":10}"
25,"All That Matters (The Beautiful Life)",2,11,"{""minutes"":3,""seconds"":37}"
26,"Love into the Light",2,12,"{""minutes"":4,""seconds"":46}"
27,"Bastards",3,1,"{""minutes"":3,""seconds"":51}"
28,"Let 'Em Talk (featuring Eagles of Death Metal)",3,2,"{""minutes"":3,""seconds"":5}"
29,"Woman (featuring the Dap-Kings Horns)",3,3,"{""minutes"":3,""seconds"":51}"
30,"Hymn",3,4,"{""minutes"":3,""seconds"":16}"
31,"Praying",3,5,"{""minutes"":3,""seconds"":50}"
32,"Learn to Let Go",3,6,"{""minutes"":3,""seconds"":37}"
33,"Finding You",3,7,"{""minutes"":2,""seconds"":52}"
34,"Rainbow",3,8,"{""minutes"":3,""seconds"":38}"
35,"Hunt You Down",3,9,"{""minutes"":3,""seconds"":17}"
36,"Boogie Feet (featuring Eagles of Death Metal)",3,10,"{""minutes"":2,""seconds"":53}"
37,"Boots",3,11,"{""minutes"":3,""seconds"":3}"
38,"Old Flames (Can't Hold a Candle to You) (feat. DP)",3,11,"{""minutes"":4,""seconds"":26}"
39,"Godzilla",3,13,"{""minutes"":2,""seconds"":8}"
40,"Spaceship",3,14,"{""minutes"":5,""seconds"":15}"
41,"Tonight",4,1,"{""minutes"":3,""seconds"":15}"
42,"My Own Dance",4,2,"{""minutes"":2,""seconds"":41}"
43,"Raising Hell (featuring Big Freedia)",4,3,"{""minutes"":2,""seconds"":49}"
44,"High Road",4,4,"{""minutes"":3,""seconds"":19}"
45,"Shadow",4,5,"{""minutes"":3,""seconds"":33}"
46,"Honey",4,6,"{""minutes"":3,""seconds"":21}"
47,"Cowboy Blues",4,7,"{""minutes"":4}"
48,"Resentment (feat. Brian Wilson, Sturgill Simpson & Wrabel)",4,8,"{""minutes"":2,""seconds"":52}"
49,"Little Bit of Love",4,9,"{""minutes"":2,""seconds"":22}"
50,"Birthday Suit (featuring Eagles of Death Metal)",4,10,"{""minutes"":2,""seconds"":56}"
51,"Kinky (featuring Ke$ha)",4,11,"{""minutes"":3,""seconds"":25}"
52,"Potato Song (Cuz I Want To)",4,11,"{""minutes"":3,""seconds"":33}"
53,"BFF (featuring Wrabel)",4,13,"{""minutes"":4,""seconds"":11}"
54,"Father Daughter Dance",4,14,"{""minutes"":2,""seconds"":37}"
55,"Chasing Thunder",4,15,"{""minutes"":3,""seconds"":41}"
56,"Something to Believe In",5,1,"{""minutes"":3,""seconds"":29}"
57,"Eat the Acid",5,2,"{""minutes"":4,""seconds"":3}"
58,"Living in My Head",5,3,"{""minutes"":3,""seconds"":6}"
59,"Fine Line",5,4,"{""minutes"":3,""seconds"":26}"
60,"Only Love Can Save Us Now",5,5,"{""minutes"":2,""seconds"":34}"
61,"All I Need Is You",5,6,"{""minutes"":3,""seconds"":1}"
62,"The Drama",5,7,"{""minutes"":4,""seconds"":23}"
63,"Ram Dass Interlude",5,8,"{""minutes"":1,""seconds"":14}"
64,"Too Far Gone",5,9,"{""minutes"":2,""seconds"":17}"
65,"Peace & Quiet",5,10,"{""minutes"":2,""seconds"":57}"
66,"Only Love Reprise",5,11,"{""minutes"":1,""seconds"":15}"
67,"Hate Me Harder",5,12,"{""minutes"":2,""seconds"":48}"
68,"Happy",5,13,"{""minutes"":4,""seconds"":22}"
69,"Freedom",6,1,"{}"
70,"Joyride",6,2,"{""minutes"":2,""seconds"":30}"
71,"Yippee-Ki-Yay",6,3,"{""minutes"":2,""seconds"":38}"
72,"Delusional",6,4,"{""minutes"":3,""seconds"":34}"
73,"Red Flag",6,5,"{}"
74,"Love Forever",6,6,"{}"
75,"The One",6,7,"{}"
76,"Boy Crazy",6,8,"{}"
77,"Glow",6,9,"{}"
78,"Too Hard",6,10,"{}"
79,"Cathedral",6,11,"{}"
